product_category_name_english,count,percent
bed_bath_table,3029,0.09369586735956446
sports_leisure,2867,0.08868473150210344
furniture_decor,2657,0.08218881464983915
health_beauty,2444,0.07560009898539966
housewares,2335,0.07222840880970056
auto,1900,0.05877258104429597
computers_accessories,1639,0.0506990843850532
toys,1411,0.04364637465973769
watches_gifts,1329,0.04110987379361544
telephony,1134,0.03507795100222717
baby,919,0.028427369463004205
perfumery,868,0.026849789656025736
fashion_bags_accessories,849,0.026262063845582776
stationery,849,0.026262063845582776
cool_stuff,789,0.024406087602078692
garden_tools,753,0.023292501855976245
pet_shop,719,0.022240781984657263
electronics,517,0.01599232863152685
construction_tools_construction,400,0.012373174956693888
home_appliances,370,0.011445186834941846
luggage_accessories,349,0.010795595149715417
consoles_games,317,0.009805741153179906
office_furniture,309,0.009558277654046028
musical_instruments,289,0.008939618906211333
small_appliances,231,0.00714550853749072
home_construction,225,0.006959910913140312
books_general_interest,216,0.0066815144766146995
fashion_shoes,173,0.005351398168770107
furniture_living_room,156,0.004825538233110616
air_conditioning,124,0.0038356842365751052
books_technical,123,0.0038047512991833707
fixed_telephony,116,0.0035882207374412275
home_confort,111,0.003433556050482554
food_drink,104,0.0032170254887404106
market_place,104,0.0032170254887404106
fashion_male_clothing,95,0.0029386290522147984
kitchen_dining_laundry_garden_furniture,94,0.002907696114823064
signaling_and_security,93,0.002876763177431329
construction_tools_safety,91,0.0028148973026478593
home_appliances_2,90,0.0027839643652561247
costruction_tools_garden,88,0.002722098490472655
food,82,0.002536500866122247
drinks,81,0.0025055679287305124
construction_tools_lights,78,0.002412769116555308
agro_industry_and_commerce,74,0.0022890373669883692
industry_commerce_and_business,68,0.002103439742637961
christmas_supplies,65,0.002010640930462757
audio,58,0.0017941103687206137
art,55,0.0017013115565454096
fashion_underwear_beach,53,0.00163944568176194
dvds_blu_ray,48,0.0014847809948032665
furniture_bedroom,45,0.0013919821826280624
costruction_tools_tools,39,0.001206384558277654
small_appliances_home_oven_and_coffee,31,0.0009589210591437763
books_imported,31,0.0009589210591437763
computers,30,0.0009279881217520415
cine_photo,28,0.0008661222469685721
fashio_female_clothing,27,0.0008351893095768374
music,27,0.0008351893095768374
party_supplies,26,0.0008042563721851027
arts_and_craftmanship,19,0.0005877258104429597
fashion_sport,19,0.0005877258104429597
flowers,14,0.00043306112348428605
diapers_and_hygiene,12,0.0003711952487008166
la_cuisine,10,0.0003093293739173472
furniture_mattress_and_upholstery,10,0.0003093293739173472
tablets_printing_image,9,0.00027839643652561246
fashion_childrens_clothes,5,0.0001546646869586736
home_comfort_2,5,0.0001546646869586736
security_and_services,2,6.186587478346944e-05
cds_dvds_musicals,1,3.093293739173472e-05
