day_of_week,count,percent
Monday,18393,0.1632756324900133
Tuesday,18237,0.1618908122503329
Wednesday,17600,0.15623612960497116
Thursday,16797,0.14910785619174435
Friday,16039,0.14237905015534844
Saturday,12168,0.10801597869507323
Sunday,13416,0.11909454061251665
